city ,AQI,precipitation,GDP,Temperature,Longititute,Latitude,Altitude,PopulationDensity,Coastal,GreenCoverageRate,Incineration(10000ton)
Concepcion,76,519.7,14267.44,29.14,101.43,48.19,4121.19,24141,0,30.05,474.05
Kadupayung,249,1135.2,15947.34,26.19,91.63,33.37,1652.22,9978,1,32.45,567.07
Wichit,41,1171.5,1665.98,24.23,118.45,36.14,4241.24,3448,1,71.82,634.54
Kepoh,99,2158.4,19072.07,9.84,101.8,25.99,1558.41,19017,1,52.79,561.81
Gandara,54,1694.9,5913.91,25.58,84.91,32.02,2909.43,11883,0,34.29,140.31
Piasek,40,1794.6,3509.84,18.24,98.62,40.63,2656.5,8405,1,49.31,460.22
San Cristóbal Verapaz,241,389.4,11267.15,3.16,82.77,42.52,602.71,8364,1,45.99,296.72
Xijiao,68,642.7,15150.99,7.46,129.69,40.56,1279.25,21299,1,16.06,224.89
Toong,47,1804.6,2582.38,7.61,107.07,45.29,3147.82,14882,0,14.56,593.01
Novallas,93,828.3,7418.49,25.03,86.92,39.56,2230.22,6641,0,21.31,694.57
Babica,108,531.1,23147.11,23.47,105.07,23.53,376.95,13985,1,63.91,250.46
Kinloch,53,1373.9,9248.56,16.84,95.76,32.85,209.34,22344,0,26.4,464.26
Bang Krathum,20,341.4,1979.72,12.13,87.34,25.36,1458.91,21513,0,46.21,366.26
Longcheng,209,2012.4,24572.08,12.95,115.33,41.94,1893.41,17324,1,37.88,91.41
Vetlanda,279,689.3,163.42,7.79,111.46,23.22,4408.89,20103,1,69.49,289.52
Witihama,127,495.7,7841.04,15.54,94.06,44.99,3173.65,14110,1,19.26,244.66
Paojan,229,1726.7,13621.48,11.25,84.09,32.27,1644.32,21659,1,8.34,466.89
Sumberpandan,224,1247.2,21430.01,21.21,85.47,44.99,2553.24,24420,1,68.64,150.81
Pumaqangtang,167,1979.4,13689.16,15.44,121.69,31.36,2069.19,3139,1,59.52,232.16
Khāndbāri,147,1374.8,6964.59,1.21,129.66,30.8,2653.47,16310,0,11.29,133.3
Lila,72,1390.3,15851.74,25.72,105.88,28.56,2038.33,9345,1,47.31,477.38
Taitung City,34,195.7,5433.71,17.6,122.09,40.41,1450.52,6562,0,45.63,192.89
Hengpi,274,2070.7,11406.25,5.96,107.05,35.96,3830.4,10286,0,68.11,508.84
Xialu,35,1058.2,20854.54,9.02,117.27,26.06,1936.52,22736,1,24.91,54.55
Wan’an,133,1399.9,14814.43,19.25,82.62,22.67,1385.2,14402,0,19.93,29.84
Chengjiao,198,1817.8,79.61,18.35,125.21,45.28,2920.28,22540,0,45.98,656.13
Rosário do Sul,198,1490.1,23174.21,0.07,117.71,25.37,4065.68,18264,0,26.83,430.01
Shazhuang,105,1140.8,21203.25,14.46,111.78,33.9,1163.07,3779,1,13.04,132.13
Skaudvilė,273,1409.7,20856.82,24.15,90.41,47.27,3964.63,23418,0,58.69,391.54
Brits,42,2052.7,20454.33,12.82,83.82,47.58,2299.12,10260,0,70.91,418.36
Soroti,173,300.4,2710.65,27.12,90.35,49.34,3986.97,21844,0,11.95,413.43
Cigadog,221,163.6,1817.13,9.63,93.11,27.14,5.44,15570,1,62.31,227.15
Huddinge,60,1722.3,962.7,2.43,120.34,44.88,1439.14,9621,1,39.92,241.89
Linköping,290,1648.5,9992.23,18.34,97.9,22.5,2636.2,23657,0,61.67,52.46
Pelasgía,232,109.3,17801.97,5.55,125.88,19.98,3600.77,1932,1,25.31,478.67
Narganá,126,93.6,7862.13,6.11,118.6,33.23,4321.59,6742,1,50.54,171.55
Santa Luzia,141,128.0,4049.81,19.5,88.23,40.72,317.9,10986,0,23.24,461.63
Houston,21,1199.3,16253.63,9.75,91.94,22.44,1912.1,22348,0,73.22,38.22
Itoman,300,1174.4,12628.08,1.31,93.33,22.4,3679.29,17037,0,16.33,247.58
Mas‘adah,268,1692.1,23963.84,18.1,100.4,47.75,2054.78,8278,1,54.09,181.03
Luotaping,27,633.4,2213.49,18.06,120.55,35.78,987.38,15848,1,68.96,430.48
Puyan,33,197.0,3855.48,6.6,126.49,21.23,4313.62,15623,1,34.72,380.9
Matviyivka,178,1991.0,1156.08,25.84,100.39,46.64,692.13,17746,0,64.29,418.64
Shihuang,227,282.4,22815.42,0.78,125.26,31.25,4027.33,15588,1,62.15,389.11
Bringinanom,130,1978.7,7340.42,23.51,86.52,27.5,4434.17,3784,1,43.11,332.4
Kayasula,193,1618.5,8695.71,26.95,86.17,37.95,2577.16,7816,1,20.23,192.96
Lingyuan,227,407.9,18445.45,27.75,95.73,34.87,4036.78,19688,1,65.56,189.13
Āq Qāyeh,37,721.6,8465.54,25.16,116.39,24.85,1231.93,11440,0,71.55,492.73
Colonia Yguazú,198,2183.4,10269.13,8.29,123.52,18.41,740.75,509,1,48.07,214.35
Moyale,209,2196.8,11432.66,17.56,105.53,46.54,377.36,19669,0,67.86,480.22
Oujda,249,1865.1,13034.26,28.43,126.91,25.39,174.36,16846,0,23.59,417.45
Laixi,140,616.2,24057.66,22.48,100.07,44.66,3332.22,6391,1,20.62,594.57
Vágia,123,1402.8,19637.23,11.33,109.84,43.5,3233.83,10385,0,10.31,53.37
Ropcha,42,1566.2,15399.33,28.19,103.64,48.39,1081.49,6579,1,25.71,193.64
Gaotang,153,2150.4,20047.99,23.67,95.95,24.24,232.6,11582,0,34.2,367.96
Viana do Alentejo,143,592.2,1290.07,9.64,123.97,31.2,4443.4,18223,0,61.61,395.67
Sampaloc,164,466.6,13896.82,3.03,105.32,38.82,817.09,19994,0,26.43,24.61
Fangjun,198,1405.2,7627.44,28.06,124.78,20.3,1316.94,8342,1,48.97,607.3
Mingyuedian,38,1125.4,2169.36,22.47,111.03,34.88,659.93,5171,0,74.06,124.74
Cuauhtemoc,126,563.0,24314.67,7.52,105.07,29.7,3349.6,10625,1,60.52,266.31
Tanbu,26,668.8,11398.23,20.57,110.33,48.13,4292.97,5432,0,29.66,156.42
Dadian,123,2360.6,10036.66,15.63,82.87,41.7,2600.67,107,1,58.64,459.9
Greytown,79,535.0,4305.37,13.21,122.43,44.08,234.84,2511,1,13.65,72.04
Shijie,87,85.0,14413.66,2.85,116.71,18.32,723.31,2215,1,39.03,233.0
Dukhovnitskoye,298,633.9,75.33,14.38,84.17,32.33,3940.53,6337,1,20.68,191.31
Yoshii,68,2219.7,4512.58,29.63,90.08,34.46,2345.65,2701,0,44.06,221.83
San Andrés,180,329.1,3220.32,13.58,129.21,49.41,536.49,6700,0,70.73,692.39
Dandai,145,1428.9,4913.21,5.74,106.1,32.66,93.01,22425,1,70.01,134.29
Pingyang,197,1524.2,23464.82,23.96,121.64,34.19,311.42,9548,0,11.49,136.7
Petropavlovskaya,78,2235.7,18763.18,13.92,96.1,33.68,1298.04,3220,1,9.39,665.11
Sho’rchi,21,1904.6,21743.31,24.86,121.21,42.79,499.77,12753,0,70.0,22.2
Gumaus,93,2148.2,11818.11,10.82,89.84,29.88,1616.07,8670,0,52.19,426.78
Bayt ‘Ūr at Taḩtā,40,2024.5,15586.46,29.75,126.04,18.02,3855.38,2480,1,13.85,611.3
El Bálsamo,266,1634.3,16627.02,8.03,94.03,32.6,1660.14,14653,0,57.18,421.32
Pingyang,161,756.8,17371.02,24.74,104.71,45.72,790.19,14329,0,24.72,191.15
Trinidad,114,1520.4,2585.86,26.1,100.74,24.87,3322.22,10909,1,74.16,692.99
Varjota,35,1596.0,20910.75,13.93,123.61,31.71,585.08,2848,1,56.12,284.81
Pompéu,23,141.9,1882.71,3.99,124.1,31.34,415.01,24884,1,35.97,496.02
San Lucas Tolimán,230,1933.5,3982.36,26.78,121.28,35.79,137.73,21552,1,28.46,604.22
Albuquerque,47,767.2,22204.59,6.3,129.46,42.35,1766.66,23046,1,67.51,70.05
Uchimaru,53,413.6,3534.43,9.38,123.29,36.06,3974.96,19676,0,31.96,88.48
Sekolan,296,431.5,14150.22,15.51,102.68,44.59,1163.94,6465,0,15.49,407.01
Jijia,43,466.6,5036.32,21.3,95.23,49.22,354.32,2101,0,63.0,126.99
Champigny-sur-Marne,62,410.8,19158.88,7.43,106.04,36.3,2884.59,14322,0,21.87,160.67
Saravia,231,2181.1,10536.05,24.36,86.28,22.88,194.3,6479,1,50.82,683.6
Annecy-le-Vieux,188,2037.0,8355.76,29.14,117.66,43.14,1424.6,945,0,36.66,161.49
Totok,166,437.2,1990.32,10.26,84.58,37.08,707.22,11116,1,62.52,44.95
Jiahe,289,2356.6,15551.11,9.94,129.84,38.55,1926.58,6452,0,40.74,183.07
Ribeira Seca,109,1376.2,16672.21,8.04,113.02,33.47,4264.54,13434,1,63.94,568.82
Stenungsund,31,243.7,2488.0,22.1,127.48,22.31,2229.03,4832,1,71.64,181.63
Bayt Sāḩūr,134,1784.9,20512.9,3.94,104.01,43.38,3150.81,7621,1,24.08,612.24
Shymkent,198,1458.5,21373.73,2.06,80.08,21.05,3687.67,6851,1,16.44,389.47
Kafir Qala,212,465.2,19367.87,10.35,129.75,36.27,1497.57,11629,1,52.84,211.05
Gózd,269,1317.9,18373.04,15.21,96.6,33.54,457.02,2437,0,59.91,176.74
Xiwang,265,602.4,14536.68,5.02,122.4,49.46,1124.38,10374,0,55.13,72.32
Volovo,24,1655.7,23154.22,21.96,81.22,18.05,4234.92,22016,1,24.03,249.3
Ban Phue,280,2218.0,23209.96,25.97,97.08,33.23,3294.77,5210,0,10.64,389.46
Liangli,193,879.3,18303.49,9.31,82.3,32.33,3869.63,9821,0,40.5,22.9
Lafia,83,2058.9,10045.87,11.92,95.12,40.59,2326.07,22587,1,32.43,281.98
Nanzhen,117,1666.3,3008.14,1.11,126.74,35.26,478.6,2845,0,30.54,59.02
Troyes,69,1243.1,1829.37,1.19,124.89,44.96,2428.89,5005,1,35.34,70.62
Svedala,167,1378.1,33.36,2.04,104.6,48.22,608.64,25073,1,15.49,269.19
Charagua,84,1699.9,19643.23,5.48,94.58,44.32,4430.19,850,1,30.17,493.59
Mulanay,248,109.0,11569.19,3.87,125.97,36.69,2393.32,10610,1,70.08,341.26
Zhaojia,92,1845.2,2824.11,23.39,103.55,24.93,2630.22,6608,0,59.26,199.61
Nuevo Emperador,70,2044.2,24577.54,16.62,88.57,43.39,2682.25,20566,0,39.49,411.39
Sogcho,190,1453.7,2750.12,20.5,95.7,30.8,1691.22,25353,0,13.06,206.89
Noramarg,57,2288.1,14701.72,20.9,90.02,27.65,1556.57,4839,0,21.13,111.86
Kamwenge,131,412.0,23060.6,15.09,101.27,21.24,1360.25,21906,0,63.45,604.02
Conceição do Jacuípe,32,644.7,19468.45,26.0,122.47,48.6,3323.37,20319,1,57.33,35.09
Singgugu,252,785.6,20416.64,11.98,104.98,43.51,3067.3,9129,1,14.2,107.34
Qingzhou,263,1219.7,19165.95,19.51,113.75,42.55,4303.09,8248,1,60.01,78.45
Khayr Kōṯ,210,1721.1,13003.51,0.6,129.29,36.13,2775.53,13567,0,12.69,164.04
Margarita,134,514.8,15394.36,0.31,118.18,46.22,743.63,15213,1,9.6,439.82
Zhouhe,204,337.7,9533.9,17.32,90.67,34.07,3360.45,15968,0,62.18,211.94
Rosario del Ingre,244,453.5,2381.02,9.57,101.02,20.26,55.39,263,1,41.39,90.83
Macatuba,46,1432.1,23843.56,27.39,100.35,26.25,466.86,9888,0,45.04,418.1
Lopez Jaena,70,763.3,9732.78,24.92,106.68,49.72,4230.92,13848,1,55.31,355.5
San Salvador,37,871.7,12249.66,5.24,101.25,18.31,2006.31,847,0,8.96,549.08
Zhong’an,52,2284.4,2678.63,21.16,90.99,25.7,1143.89,3339,0,74.22,557.94
Pindangan Centro,208,554.5,7812.13,5.93,116.68,19.3,2185.47,5071,1,17.07,284.48
Bothaville,149,1138.8,12130.53,8.81,118.54,31.09,3203.83,16860,0,14.05,21.28
Gunziying,131,335.0,3770.99,19.19,112.23,42.0,2037.51,14719,0,41.72,256.42
Carcar,147,568.7,9127.35,5.19,82.81,49.07,1087.45,1219,0,55.01,187.09
Ostrów Mazowiecka,172,1367.3,52.64,2.11,83.47,45.88,351.48,20692,0,49.34,233.17
Kakan,88,255.7,13975.18,6.74,115.68,24.18,3481.42,7552,0,58.85,687.72
Dologon,160,381.6,973.13,19.91,107.23,49.71,3425.12,3081,1,27.98,502.92
Pulau Tiga,148,1657.7,9768.59,22.81,104.43,49.78,4325.33,7969,0,41.91,266.55
Nuga,186,1292.9,11911.51,5.59,98.9,36.59,940.86,15923,0,23.04,442.04
Tamot,110,726.3,18243.28,7.59,93.21,21.39,4005.21,14024,1,41.26,301.45
Grand-Bassam,210,2125.4,18430.36,11.16,86.37,30.4,1743.38,346,0,33.11,235.37
Xinxing,54,1488.1,24498.81,22.5,110.27,19.17,1320.21,3312,1,39.54,1.47
Rengat,299,1335.1,6689.56,8.01,101.43,28.77,4039.81,7364,1,54.36,444.27
Dulyapino,223,1633.9,16797.34,15.47,95.07,49.12,1659.31,18770,0,21.07,298.48
Birmingham,29,2238.3,12489.86,23.38,107.25,31.86,3030.97,4263,0,39.24,264.6
Bojong,83,1469.1,17214.11,12.71,110.92,40.63,3549.99,5803,0,46.05,650.37
Jasienica,262,697.7,11809.17,15.81,93.59,25.54,4047.3,18076,1,26.66,311.96
Halayhayin,59,1173.5,1548.33,7.94,81.92,49.64,2681.99,4936,1,15.51,546.61
Lazaro Cardenas,76,2252.8,2596.74,10.5,87.82,18.48,3871.15,5298,0,71.88,96.58
‘Afīf,104,1763.2,12677.97,18.04,84.05,45.35,396.34,19667,0,40.05,22.91
Zhili,220,429.2,4396.62,22.64,101.56,34.71,3102.03,9986,0,63.52,103.75
Mogi Mirim,62,1680.6,11731.4,15.76,113.27,33.89,2014.15,13055,0,60.92,18.37
Biao,65,153.4,3020.13,8.18,110.87,47.51,3623.55,17632,1,33.03,63.85
Milići,207,1578.8,2357.92,2.43,99.06,24.31,1124.14,20898,1,66.57,139.91
Pajić Polje,252,1398.0,11519.55,1.31,124.29,20.8,952.37,17029,0,15.82,161.06
Kurayoshi,262,1003.5,6196.12,5.38,111.02,38.58,2979.33,6858,0,46.06,233.91
Caen,79,2265.8,1708.58,17.98,109.12,43.38,2759.6,16169,0,26.46,105.99
Chengfeng,188,1100.8,9336.81,22.31,91.01,20.4,1183.09,12512,0,20.46,555.62
Agrela,221,659.0,17081.92,29.22,127.84,47.87,3154.5,10216,0,21.19,433.84
Ogod,91,1997.3,22577.6,0.89,84.23,30.05,979.78,1420,1,13.77,114.05
Issy-les-Moulineaux,281,150.7,22041.06,4.24,88.77,25.39,1850.48,11465,1,13.59,552.43
Pākpattan,169,485.7,19379.63,11.0,124.78,28.79,1773.79,16709,1,63.68,365.21
Yaviza,116,180.0,20916.67,27.17,118.21,48.19,1708.77,6794,1,13.93,506.6
Dengzhou,60,748.2,1524.03,16.89,103.86,46.08,3355.66,17924,0,43.6,42.61
Dorupare,277,2388.0,20758.78,10.62,112.02,49.54,354.39,13286,0,59.44,238.8
Wuxi,116,1650.9,22315.2,24.05,89.38,28.86,216.52,20186,1,7.71,179.34
Santa Rita,106,1458.4,844.59,9.92,126.76,45.21,415.64,19255,0,17.29,71.05
Eybens,134,223.4,20046.69,26.64,110.56,22.97,362.81,10026,0,47.61,411.81
Krzyżanowice,299,1218.6,19672.46,26.97,113.0,38.57,898.29,23956,0,69.47,525.46
Weixing,264,470.7,12050.35,14.35,108.26,28.71,1508.25,17140,1,39.61,236.57
São Marcos da Serra,84,546.6,8528.74,2.93,97.29,47.9,3972.16,12760,1,62.31,218.2
Cabatang,241,542.7,23598.78,10.03,90.83,22.57,3426.8,23029,1,69.4,278.61
Casal,191,2325.7,6890.11,3.03,98.84,28.83,3014.0,20535,0,37.22,201.39
Banyubang,268,1023.7,7016.37,3.45,103.2,48.57,3162.68,5017,1,32.11,460.86
Shchuchin,198,535.6,24335.09,23.78,83.81,23.1,3422.13,16946,1,21.29,224.75
London,125,1641.6,11657.1,14.14,113.43,19.83,2657.57,5281,1,35.88,581.6
København,113,1508.7,7731.87,23.97,95.14,46.27,1083.83,21000,0,48.38,208.09
Bang Ban,60,2145.3,5951.56,15.3,89.6,46.51,2973.84,17632,0,46.17,191.39
Balakliya,38,221.7,21363.37,21.59,124.39,42.55,1777.19,1348,0,22.99,79.74
Gampingan,146,506.3,13644.32,11.64,117.28,41.11,3181.06,706,1,21.66,142.93
Igreja,110,1314.4,23397.35,23.61,101.23,21.99,2018.55,4942,1,8.9,573.43
Pokrovskoye,43,1373.0,5208.84,19.66,119.04,26.93,2158.86,20203,1,56.37,121.19
Tours,195,1319.7,18296.26,28.89,104.13,33.73,1537.23,11789,0,50.14,248.7
Puerto Plata,218,1027.8,8347.3,12.05,92.79,41.7,1483.86,10923,1,74.92,365.54
Takub,76,849.3,8248.05,22.94,110.39,34.21,1404.72,19716,1,74.8,180.56
Ramada,70,251.9,19503.31,5.63,97.66,29.58,1954.79,9934,1,18.18,347.11
Mirocin,253,2205.0,6311.89,2.3,81.88,41.05,3036.22,2648,1,34.3,110.59
Krayen,139,611.4,15384.84,28.83,114.68,26.07,1343.14,12792,1,47.24,340.34
Shishang,25,1560.5,4410.97,10.96,121.17,23.0,1665.9,14239,0,12.37,288.79
Novi Beograd,288,113.7,21512.8,2.05,118.81,44.33,2857.45,4523,0,68.19,95.66
Balzers,239,1314.5,13492.06,14.42,111.11,36.16,3866.51,15798,1,56.97,257.96
Omuo-Ekiti,298,921.8,3662.01,16.64,88.96,29.02,1581.07,19159,1,72.15,293.66
Mellieħa,68,1699.8,20073.56,17.17,89.28,25.24,243.51,16361,0,35.22,225.62
Kamubheka,246,1296.4,13087.45,6.94,123.94,32.46,226.35,11464,0,40.16,540.78
Phibun Mangsahan,101,1065.1,11006.58,19.61,106.97,31.55,1931.42,25284,1,23.21,424.39
Zhulebino,276,2286.6,4795.86,15.84,119.51,21.78,2075.62,4076,0,14.56,50.56
Luoping,38,1107.5,2102.38,3.67,122.66,30.34,351.49,11597,1,57.77,331.36
Manolo Fortich,209,463.3,11409.57,10.46,102.23,46.25,3891.59,16608,0,39.64,342.15
Jialai,97,2197.6,19945.76,17.59,113.28,38.27,2070.03,22565,0,15.19,11.16
Nova Iguaçu,88,1944.2,3714.6,2.28,84.53,32.38,1051.93,14870,1,21.11,246.85
Catarman,29,883.8,8367.2,25.72,117.61,41.78,142.78,14536,1,40.33,80.35
Soweto,91,1054.7,3515.6,26.09,119.06,32.16,1507.11,15281,1,22.6,637.87
Taiping,147,1649.9,8144.94,12.62,83.23,45.97,3485.83,25449,0,16.51,291.25
Santo Antônio do Amparo,43,1782.4,23038.73,11.78,102.55,20.48,2344.26,21304,1,23.72,289.67
Xuri,246,783.8,22769.05,16.19,123.1,25.81,60.11,15826,0,59.57,689.07
Guangfu,137,1913.7,16324.11,28.03,102.94,42.58,2617.18,20092,0,36.43,400.94
Arroteia,277,1252.7,11251.86,20.62,84.74,31.69,388.66,9228,0,18.18,350.27
Wojsławice,159,2200.8,4643.25,18.56,108.48,43.21,3823.92,946,0,7.33,270.89
Černá Hora,262,1457.1,11302.96,21.69,104.22,24.15,1811.23,1632,1,67.67,82.79
Ocala,40,399.3,6746.21,6.32,111.63,27.05,1320.69,563,0,56.43,198.51
Mulchén,137,976.9,1336.9,25.98,96.51,29.71,3146.25,23955,1,40.38,26.93
Nangan,291,1798.9,24331.53,3.51,122.18,36.52,4057.17,11108,0,43.53,633.75
Bagacay,154,1150.4,7448.15,22.62,93.1,34.62,3459.53,8779,1,62.74,230.22
Glória do Goitá,269,285.4,17668.99,16.5,81.99,39.6,2552.13,19479,1,41.69,555.99
Makanya,34,728.4,13313.48,18.32,117.66,20.82,3532.81,228,1,23.25,351.89
Thị Trấn Nước Hai,190,593.3,17425.98,4.82,113.52,25.73,3172.01,8504,0,62.05,93.41
Herálec,66,916.3,9065.87,0.68,106.58,35.87,2806.23,10584,0,66.23,207.31
Maddarulug Norte,257,2142.6,10574.15,8.45,87.66,49.81,3360.07,15081,0,20.93,525.01
Syntul,198,1544.4,19016.05,16.72,83.49,47.32,4408.21,22847,0,64.44,145.68
Colca,138,173.8,10730.22,18.0,108.26,43.33,2532.89,25287,1,11.29,84.18
Jiujiang,57,1580.2,13777.56,13.05,89.71,36.63,2272.04,14130,0,50.97,246.16
Yanggu’ao,29,2084.4,21086.08,1.66,109.29,38.65,1261.69,12795,0,25.33,393.93
